latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.2214413,-75.47659,1493.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-06-12,26.7,14.1,7.40
2015-06-13,27.1,15.7,5.90
2015-06-14,26.1,14.8,5.60
2015-06-15,26.8,15.3,4.50
2015-06-16,27.7,16.2,0.20
2015-06-17,26.8,15.7,0.00
2015-06-18,26.8,16.7,0.00
2015-06-19,27.5,16.5,0.10
2015-06-20,26.9,17.1,0.00
2015-06-21,26.1,16.1,2.30
2015-06-22,27.4,15.2,2.50
2015-06-23,28.0,14.6,0.30
2015-06-24,28.2,17.0,0.00
2015-06-25,28.0,16.8,0.00
2015-06-26,27.9,17.0,0.00
2015-06-27,27.6,17.4,0.00
2015-06-28,27.5,17.5,0.10
2015-06-29,25.7,17.1,1.50
2015-06-30,26.7,14.9,0.20
2015-07-01,28.6,16.0,1.20
2015-07-02,29.1,16.8,0.00
2015-07-03,29.1,15.6,0.00
2015-07-04,28.6,16.8,0.00
2015-07-05,28.0,17.4,0.50
2015-07-06,26.7,15.9,0.90
2015-07-07,21.1,15.8,6.60
2015-07-08,25.1,16.4,5.60
2015-07-09,26.0,14.6,2.00
2015-07-10,25.0,15.4,1.10
2015-07-11,23.6,15.4,1.30
2015-07-12,24.3,14.7,4.80
2015-07-13,25.9,14.7,0.60
2015-07-14,25.8,15.3,11.90
2015-07-15,23.2,15.2,7.80
2015-07-16,25.7,15.0,7.00
2015-07-17,26.7,13.8,3.50
2015-07-18,24.8,14.0,6.20
2015-07-19,25.8,12.7,17.00
2015-07-20,23.3,16.2,9.40
2015-07-21,23.9,15.9,12.80
2015-07-22,25.2,15.2,26.70
2015-07-23,26.1,14.1,2.30
2015-07-24,27.2,14.7,0.00
2015-07-25,29.6,15.0,0.80
2015-07-26,28.2,16.2,0.60
2015-07-27,26.8,15.0,1.30
2015-07-28,27.5,14.7,4.40
2015-07-29,26.5,14.9,0.00
2015-07-30,25.2,15.6,2.90
2015-07-31,26.5,14.5,12.20
2015-08-01,27.4,14.2,3.60
2015-08-02,26.5,15.1,0.00
2015-08-03,29.4,15.4,0.50
2015-08-04,29.6,16.4,0.30
2015-08-05,29.3,16.3,1.00
2015-08-06,29.6,15.9,0.00
2015-08-07,26.3,17.6,0.00
2015-08-08,25.9,16.2,3.00
2015-08-09,23.0,16.7,20.40
2015-08-10,25.0,15.6,1.00
2015-08-11,26.3,14.9,7.70
2015-08-12,27.1,15.5,0.00
2015-08-13,27.1,16.1,2.50
2015-08-14,27.1,15.2,9.30
2015-08-15,26.7,13.9,15.50
