latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.4094903,-76.4563,967.0,-18000,America/Bogota,GMT-5

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm)
2015-06-12,25.9,16.8,0.00
2015-06-13,25.7,16.8,0.40
2015-06-14,24.7,16.9,0.40
2015-06-15,25.9,16.8,0.00
2015-06-16,27.7,16.9,0.00
2015-06-17,25.6,18.1,0.00
2015-06-18,27.0,17.5,0.00
2015-06-19,26.8,17.6,0.00
2015-06-20,27.5,18.5,0.00
2015-06-21,25.6,19.6,1.70
2015-06-22,26.3,17.5,0.00
2015-06-23,27.8,16.6,0.00
2015-06-24,28.9,18.0,0.00
2015-06-25,27.4,16.4,0.00
2015-06-26,28.3,19.2,0.00
2015-06-27,27.9,17.4,0.20
2015-06-28,27.7,18.0,0.00
2015-06-29,25.3,16.5,0.60
2015-06-30,26.1,17.0,0.70
2015-07-01,28.1,16.1,0.00
2015-07-02,27.7,16.0,0.00
2015-07-03,28.2,16.7,0.00
2015-07-04,24.3,16.9,2.20
2015-07-05,24.6,17.9,0.00
2015-07-06,24.9,16.9,5.60
2015-07-07,23.5,18.4,26.10
2015-07-08,25.2,19.0,0.30
2015-07-09,25.1,16.9,3.00
2015-07-10,25.6,16.7,0.60
2015-07-11,25.2,19.2,0.60
2015-07-12,25.1,18.0,2.30
2015-07-13,24.9,16.8,28.90
2015-07-14,24.9,19.1,34.10
2015-07-15,24.1,17.0,0.20
2015-07-16,25.1,16.0,0.30
2015-07-17,25.3,17.2,0.00
2015-07-18,25.0,17.1,0.10
2015-07-19,24.9,15.4,5.40
2015-07-20,23.6,19.3,22.40
2015-07-21,24.3,18.6,6.30
2015-07-22,24.8,18.2,0.00
2015-07-23,24.9,16.2,0.00
2015-07-24,26.8,15.4,0.00
2015-07-25,29.0,14.7,0.00
2015-07-26,26.6,18.1,0.00
2015-07-27,25.8,17.6,0.00
2015-07-28,25.8,17.5,0.10
2015-07-29,25.5,17.2,0.30
2015-07-30,25.7,17.1,0.00
2015-07-31,26.0,17.2,0.20
2015-08-01,26.4,16.2,0.00
2015-08-02,26.3,16.9,0.00
2015-08-03,27.5,15.9,0.00
2015-08-04,27.7,17.1,0.00
2015-08-05,26.9,16.6,0.00
2015-08-06,26.3,16.6,0.40
2015-08-07,25.8,18.6,0.00
2015-08-08,24.0,18.2,5.80
2015-08-09,22.8,18.9,32.30
2015-08-10,25.2,17.8,2.70
2015-08-11,25.9,15.8,0.80
2015-08-12,26.0,16.4,0.20
2015-08-13,24.4,16.8,1.00
2015-08-14,25.8,16.7,0.50
2015-08-15,25.8,16.9,0.00
2015-08-16,25.4,17.4,0.40
2015-08-17,26.1,15.7,2.30
2015-08-18,25.7,15.5,0.20
2015-08-19,26.9,16.4,0.00
2015-08-20,26.4,18.0,3.00
